impr,lang,query,blog,blog_pos,tour,tour_pos
28,ru,серные бани тбилиси забронировать,/blog/sernye-bani-tbilisi/,26.6,/ekskursiya/ekskursiya-abanotubani/,63.7
27,ru,вардзия цена билета,/blog/vardzia/,8.8,/ekskursiya/ekskursiya-vardzia/,10.2
27,ge,თბილისი ყაზბეგი დრო,/ge/blog/transfer-tbilisi-to-kazbegi/,4.7,/ge/ekskursiya/ekskursiya-kazbegi-iz-tbilisi/,5.3
27,en,mtskheta from tbilisi,/en/blog/mtskheta-day-trip/,8.9,/en/ekskursiya/ekskursiya-mtskheta-iz-tbilisi/,10
26,ru,кахетия экскурсия,/blog/kakheti-za-1-den/,10,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,14.8
26,ge,ტაქსი ყაზბეგში,/ge/blog/transfer-tbilisi-to-kazbegi/,4.0,/ge/ekskursiya/tur-kazbegi-kakheti-2-dnya/,12
26,en,country,/en/blog/tbilisi-techno-scene/,1,/en/ekskursiya/ekskursiya-vardzia/,4
25,ru,что посмотреть в тбилиси,/blog/narikala-tbilisi/,1,/ekskursiya/tur-po-hramam-tbilisi/,3
25,en,davit gareja monastery complex,/en/blog/david-gareja-monastery/#border,8.8,/en/ekskursiya/ekskursiya-david-gareji/,75
24,en,vardzia day trip from tbilisi,/en/blog/vardzia-cave-monastery/,7.5,/en/ekskursiya/ekskursiya-vardzia/,32.8
24,en,borjomi tour from tbilisi,/en/blog/borjomi-from-tbilisi/#how,9,/en/ekskursiya/ekskursiya-borjomi-iz-tbilisi/,15.8
23,ru,экскурсия в кахетию,/blog/kakheti-za-1-den/,17.5,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,44
23,ru,отдых в грузии,/blog/gruziya-v-sentyabre/,1,/ekskursiya/tur-gruziya-7-dney/,2
23,en,tbilisi brutalist building,/en/blog/soviet-tbilisi-tour/,8.1,/en/ekskursiya/sovetskiy-tur-tbilisi/,10
22,ru,что посмотреть в кахетии,/blog/kakheti-za-1-den/,41,/ekskursiya/ekskursiya-kakheti-iz-tbilisi/,43.9
22,en,დიახ,/en/blog/tbilisoba/,1,/ge/ekskursiya/kvevri-vino-tur/,6
22,en,truso tours,/en/blog/truso-valley-hike/,5,/en/ekskursiya/ekskursiya-truso/,14.8
